,Nivel de Agua,fecha
0,100.0,07/17/2022--08:02:32
1,100.0,07/17/2022--08:02:33
2,100.0,07/17/2022--08:02:34
3,100.0,07/17/2022--08:02:35
4,100.0,07/17/2022--08:02:36
5,100.0,07/17/2022--08:02:37
6,100.0,07/17/2022--08:02:38
7,100.0,07/17/2022--08:02:39
8,100.0,07/17/2022--08:02:40
9,100.0,07/17/2022--08:02:41
10,100.0,07/17/2022--08:02:42
11,100.0,07/17/2022--08:02:43
12,100.0,07/17/2022--08:02:44
13,100.0,07/17/2022--08:02:45
14,100.0,07/17/2022--08:02:46
15,100.0,07/17/2022--08:02:47
16,100.0,07/17/2022--08:02:48
17,100.0,07/17/2022--08:02:49
18,100.0,07/17/2022--08:02:50
19,100.0,07/17/2022--08:02:51
20,100.0,07/17/2022--08:02:52
21,100.0,07/17/2022--08:02:53
22,100.0,07/17/2022--08:02:54
23,100.0,07/17/2022--08:02:55
24,100.0,07/17/2022--08:02:56
25,100.0,07/17/2022--08:02:57
26,100.0,07/17/2022--08:02:58
27,100.0,07/17/2022--08:02:59
28,100.0,07/17/2022--08:03:00
29,100.0,07/17/2022--08:03:01
30,100.0,07/17/2022--08:03:02
31,100.0,07/17/2022--08:03:03
32,100.0,07/17/2022--08:03:04
33,100.0,07/17/2022--08:03:05
34,100.0,07/17/2022--08:03:06
35,100.0,07/17/2022--08:03:07
36,100.0,07/17/2022--08:03:08
37,60.0,07/17/2022--08:18:28
38,60.0,07/17/2022--08:18:29
39,60.0,07/17/2022--08:18:30
40,60.0,07/17/2022--08:18:31
41,60.0,07/17/2022--08:18:32
42,60.0,07/17/2022--08:18:33
43,60.0,07/17/2022--08:18:34
44,60.0,07/17/2022--08:18:35
45,60.0,07/17/2022--08:18:36
46,60.0,07/17/2022--08:18:37
47,60.0,07/17/2022--08:18:38
48,60.0,07/17/2022--08:18:39
49,60.0,07/17/2022--08:18:40
50,60.0,07/17/2022--08:18:41
51,60.0,07/17/2022--08:18:42
52,60.0,07/17/2022--08:18:44
53,60.0,07/17/2022--08:18:44
54,60.0,07/17/2022--08:18:45
55,60.0,07/17/2022--08:18:47
56,60.0,07/17/2022--08:18:48
57,60.0,07/17/2022--08:18:48
58,60.0,07/17/2022--08:18:50
59,60.0,07/17/2022--08:18:51
60,60.0,07/17/2022--08:18:52
61,60.0,07/17/2022--08:18:52
62,60.0,07/17/2022--08:18:54
63,60.0,07/17/2022--08:18:55
64,60.0,07/17/2022--08:18:56
65,60.0,07/17/2022--08:18:57
66,60.0,07/17/2022--08:18:58
67,60.0,07/17/2022--08:18:59
68,60.0,07/17/2022--08:19:00
69,60.0,07/17/2022--08:19:01
70,60.0,07/17/2022--08:19:02
71,60.0,07/17/2022--08:19:03
72,60.0,07/17/2022--08:19:04
73,60.0,07/17/2022--08:19:05
74,60.0,07/17/2022--08:19:06
75,60.0,07/17/2022--08:19:07
76,60.0,07/17/2022--08:19:08
77,60.0,07/17/2022--08:19:09
78,60.0,07/17/2022--08:19:10
79,60.0,07/17/2022--08:19:11
80,60.0,07/17/2022--08:19:12
81,60.0,07/17/2022--08:19:13
82,60.0,07/17/2022--08:19:14
83,20.0,07/17/2022--08:32:09
84,20.0,07/17/2022--08:32:11
85,20.0,07/17/2022--08:32:11
86,20.0,07/17/2022--08:32:12
87,20.0,07/17/2022--08:32:13
88,20.0,07/17/2022--08:32:15
89,20.0,07/17/2022--08:32:15
90,20.0,07/17/2022--08:32:16
91,20.0,07/17/2022--08:32:18
92,20.0,07/17/2022--08:32:19
93,20.0,07/17/2022--08:32:19
94,20.0,07/17/2022--08:32:21
95,20.0,07/17/2022--08:32:22
96,20.0,07/17/2022--08:32:23
97,20.0,07/17/2022--08:32:23
98,20.0,07/17/2022--08:32:25
99,20.0,07/17/2022--08:32:26
100,20.0,07/17/2022--08:32:27
